function evaluations§best§chromosome§runtime in seconds
2§3.2093344§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7]))§0.003335584
5§3.1626866§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.004508027
8§2.8756542§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14]))§0.00576611
12003§2.864615§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.8107624, 0.24438334), (0.3065624, 0.6667452), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.16773713, 0.19088669), (0.17186058, 0.20653524), (0.1334849, 0.26346985)], includedObstacleCornersIndices=set([14]))§2.9341543
12041§2.8616352§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.8107624, 0.24438334), (0.3065624, 0.6667452), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.17186058, 0.20653524)], includedObstacleCornersIndices=set([14, 2, 3]))§2.9404995
12050§2.8441415§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.8107624, 0.24438334), (0.3065624, 0.6667452), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.17186058, 0.20653524)], includedObstacleCornersIndices=set([14, 3]))§2.941574
12085§2.840013§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.8107624, 0.24438334), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702)], includedObstacleCornersIndices=set([14, 3]))§2.9473038
12318§2.8198223§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.8107624, 0.24438334), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.82317066, 0.16266721)], includedObstacleCornersIndices=set([14, 3]))§2.973894
12410§2.8193789§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.8107624, 0.24438334), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.82317066, 0.16266721), (0.29981196, 0.03301607)], includedObstacleCornersIndices=set([14, 3]))§2.9866323
12607§2.8165488§Chromosome(steinerPoints=[(0.3432497, 0.6835676), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.82317066, 0.16266721), (0.84418637, 0.32030332)], includedObstacleCornersIndices=set([14, 3]))§3.0186229
12908§2.815268§Chromosome(steinerPoints=[(0.82317066, 0.16266721), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.08193484, 0.28934056), (0.27427036, 0.9034808)], includedObstacleCornersIndices=set([14, 3]))§3.0687375
12998§2.8128395§Chromosome(steinerPoints=[(0.82317066, 0.16266721), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.27427036, 0.9034808)], includedObstacleCornersIndices=set([14, 3]))§3.083149
13131§2.8095345§Chromosome(steinerPoints=[(0.82317066, 0.16266721), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75064456, 0.104699485), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.27427036, 0.9034808), (0.75132966, 0.124447495)], includedObstacleCornersIndices=set([14, 3]))§3.1024125
13160§2.8077588§Chromosome(steinerPoints=[(0.82317066, 0.16266721), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75132966, 0.124447495), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.27427036, 0.9034808), (0.8105543, 0.16816962)], includedObstacleCornersIndices=set([14, 3]))§3.1066422
14312§2.8069758§Chromosome(steinerPoints=[(0.8105543, 0.16816962), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75132966, 0.124447495), (0.09678422, 0.8719702), (0.15174392, 0.115165375), (0.27427036, 0.9034808), (0.3584691, 0.6710642)], includedObstacleCornersIndices=set([14, 3]))§3.276332
28462§2.8042526§Chromosome(steinerPoints=[(0.8105543, 0.16816962), (0.29981196, 0.03301607), (0.17186058, 0.20653524), (0.75132966, 0.124447495), (0.09678422, 0.8719702), (0.3584691, 0.6710642), (0.27427036, 0.9034808), (0.3492368, 0.0957359)], includedObstacleCornersIndices=set([14, 3]))§5.4937596
28478§2.8020449§Chromosome(steinerPoints=[(0.8105543, 0.16816962), (0.3492368, 0.0957359), (0.17186058, 0.20653524), (0.75132966, 0.124447495), (0.09678422, 0.8719702), (0.3584691, 0.6710642), (0.27427036, 0.9034808)], includedObstacleCornersIndices=set([14, 3]))§5.496767
28572§2.8009768§Chromosome(steinerPoints=[(0.8105543, 0.16816962), (0.3492368, 0.0957359), (0.17186058, 0.20653524), (0.75132966, 0.124447495), (0.09678422, 0.8719702), (0.3584691, 0.6710642), (0.27427036, 0.9034808), (0.25323114, 0.21813095)], includedObstacleCornersIndices=set([14, 3]))§5.5097685
