function evaluations§best§chromosome§runtime in seconds
2§2.4392946§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000672763
10846§2.4210975§Chromosome(steinerPoints=[(0.84386027, 0.79092324), (0.2332525, 0.7282391), (0.1972177, 0.5147609), (0.16021945, 0.6596612)], includedObstacleCornersIndices=set([7, 8, 12, 11, 9]))§1.4009955
10855§2.4197106§Chromosome(steinerPoints=[(0.84386027, 0.79092324), (0.2332525, 0.7282391), (0.1972177, 0.5147609), (0.16021945, 0.6596612)], includedObstacleCornersIndices=set([7, 8, 12, 11]))§1.4017698
10857§2.4168649§Chromosome(steinerPoints=[(0.84386027, 0.79092324), (0.2332525, 0.7282391), (0.1972177, 0.5147609), (0.16021945, 0.6596612)], includedObstacleCornersIndices=set([7, 8, 12]))§1.4019711
12151§2.4038754§Chromosome(steinerPoints=[(0.154435, 0.62269104), (0.18956833, 0.49627098), (0.21267411, 0.49126285), (0.49788025, 0.6062021), (0.5189762, 0.89769393), (0.53940684, 0.63721585), (0.44408956, 0.7795452), (0.13235867, 0.66200864), (0.13703418, 0.66018605), (0.7559958, 0.6320076), (0.19082728, 0.58099204)], includedObstacleCornersIndices=set([8, 9]))§1.5461743
12198§2.4024425§Chromosome(steinerPoints=[(0.154435, 0.62269104), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.49788025, 0.6062021), (0.5189762, 0.89769393), (0.53940684, 0.63721585), (0.44408956, 0.7795452), (0.13235867, 0.66200864), (0.13703418, 0.66018605), (0.7559958, 0.6320076)], includedObstacleCornersIndices=set([8, 9]))§1.5509849
12234§2.400982§Chromosome(steinerPoints=[(0.154435, 0.62269104), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.49788025, 0.6062021), (0.5189762, 0.89769393), (0.53940684, 0.63721585), (0.44408956, 0.7795452), (0.13235867, 0.66200864), (0.52818304, 0.8610861), (0.7559958, 0.6320076)], includedObstacleCornersIndices=set([8, 9]))§1.554863
12310§2.356972§Chromosome(steinerPoints=[(0.154435, 0.62269104), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.5189762, 0.89769393), (0.53940684, 0.63721585), (0.44408956, 0.7795452), (0.13235867, 0.66200864), (0.52818304, 0.8610861)], includedObstacleCornersIndices=set([8, 9]))§1.5625452
12316§2.3564456§Chromosome(steinerPoints=[(0.52818304, 0.8610861), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.5189762, 0.89769393), (0.53940684, 0.63721585), (0.44408956, 0.7795452), (0.13235867, 0.66200864)], includedObstacleCornersIndices=set([8, 9]))§1.5632417
12325§2.3557236§Chromosome(steinerPoints=[(0.52818304, 0.8610861), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.5189762, 0.89769393), (0.13235867, 0.66200864), (0.44408956, 0.7795452)], includedObstacleCornersIndices=set([8, 9]))§1.5641992
12366§2.3533974§Chromosome(steinerPoints=[(0.52818304, 0.8610861), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.5189762, 0.89769393), (0.10488322, 0.67768437), (0.44408956, 0.7795452)], includedObstacleCornersIndices=set([8, 9]))§1.5675144
12369§2.310865§Chromosome(steinerPoints=[(0.52818304, 0.8610861), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.44408956, 0.7795452), (0.10488322, 0.67768437), (0.43575588, 0.780356)], includedObstacleCornersIndices=set([8, 9]))§1.5678666
12415§2.2923777§Chromosome(steinerPoints=[(0.52818304, 0.8610861), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.44408956, 0.7795452), (0.10488322, 0.67768437), (0.43575588, 0.780356), (0.3781267, 0.7825114)], includedObstacleCornersIndices=set([8, 9]))§1.5713849
12477§2.290443§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.44408956, 0.7795452), (0.10488322, 0.67768437), (0.43575588, 0.780356)], includedObstacleCornersIndices=set([8, 9]))§1.5765247
12603§2.2866116§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.18956833, 0.49627098), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.44408956, 0.7795452), (0.10488322, 0.67768437), (0.19294219, 0.46941215)], includedObstacleCornersIndices=set([8, 9]))§1.5850484
12980§2.2827015§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.19294219, 0.46941215), (0.19082728, 0.58099204), (0.7559958, 0.6320076), (0.44408956, 0.7795452), (0.10488322, 0.67768437), (0.47015065, 0.7765548)], includedObstacleCornersIndices=set([8, 9]))§1.6113191
13157§2.2767572§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.19294219, 0.46941215), (0.10488322, 0.67768437), (0.7559958, 0.6320076), (0.47015065, 0.7765548), (0.21491331, 0.6066049)], includedObstacleCornersIndices=set([8, 9]))§1.6234837
13462§2.2738302§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.19294219, 0.46941215), (0.10488322, 0.67768437), (0.7559958, 0.6320076), (0.47015065, 0.7765548), (0.21491331, 0.6066049), (0.21365646, 0.48109654)], includedObstacleCornersIndices=set([8, 9]))§1.6429081
13672§2.2723644§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.21365646, 0.48109654), (0.10488322, 0.67768437), (0.7559958, 0.6320076), (0.47015065, 0.7765548), (0.21491331, 0.6066049), (0.21416318, 0.6216519)], includedObstacleCornersIndices=set([8, 9]))§1.657898
15187§2.271831§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.21365646, 0.48109654), (0.10488322, 0.67768437), (0.7559958, 0.6320076), (0.47015065, 0.7765548), (0.21416318, 0.6216519), (0.5380725, 0.6433575)], includedObstacleCornersIndices=set([8, 9]))§1.76089
36863§2.2695556§Chromosome(steinerPoints=[(0.3781267, 0.7825114), (0.21365646, 0.48109654), (0.10488322, 0.67768437), (0.7559958, 0.6320076), (0.47015065, 0.7765548), (0.21416318, 0.6216519), (0.7047955, 0.57936144)], includedObstacleCornersIndices=set([8, 9]))§3.3415987
