function evaluations§best§chromosome§runtime in seconds
2§2.4392946§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000194673
14§2.396046§Chromosome(steinerPoints=[(0.6836083, 0.779324)], includedObstacleCornersIndices=set([11, 7, 6, 12]))§0.001154051
21§2.379811§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([11, 7, 6, 12, 4]))§0.001696687
9873§2.3675117§Chromosome(steinerPoints=[(0.38874587, 0.44322392), (0.3712835, 0.52461433), (0.7732891, 0.84115875)], includedObstacleCornersIndices=set([4, 0]))§1.229897
16385§2.3492594§Chromosome(steinerPoints=[(0.1353043, 0.703889), (0.59177846, 0.6212889), (0.6429904, 0.50821996)], includedObstacleCornersIndices=set([6, 0, 7]))§1.8857117
16480§2.3147988§Chromosome(steinerPoints=[(0.15437922, 0.7288141), (0.67475224, 0.76042885), (0.16524976, 0.46737504)], includedObstacleCornersIndices=set([6, 0, 7, 12, 11]))§1.892066
16481§2.2991123§Chromosome(steinerPoints=[(0.15437922, 0.7288141), (0.67475224, 0.76042885), (0.16524976, 0.46737504)], includedObstacleCornersIndices=set([6, 0, 7, 12]))§1.8922
22265§2.2946672§Chromosome(steinerPoints=[(0.7494876, 0.65314233), (0.3708244, 0.8199307), (0.5845449, 0.690858), (0.17580274, 0.47194532), (0.48938823, 0.8369825), (0.18445191, 0.621834)], includedObstacleCornersIndices=set([9, 8]))§2.5131383
22277§2.2929444§Chromosome(steinerPoints=[(0.7494876, 0.65314233), (0.3708244, 0.8199307), (0.5845449, 0.690858), (0.17580274, 0.47194532), (0.48938823, 0.8369825), (0.18445191, 0.621834), (0.19182487, 0.48236057)], includedObstacleCornersIndices=set([9, 8]))§2.5141294
22287§2.2909067§Chromosome(steinerPoints=[(0.7494876, 0.65314233), (0.3708244, 0.8199307), (0.5845449, 0.690858), (0.17580274, 0.47194532), (0.48938823, 0.8369825), (0.18445191, 0.621834), (0.19182487, 0.48236057), (0.5675434, 0.6913845)], includedObstacleCornersIndices=set([9, 8]))§2.5149345
22289§2.2905993§Chromosome(steinerPoints=[(0.7494876, 0.65314233), (0.3708244, 0.8199307), (0.5845449, 0.690858), (0.5675434, 0.6913845), (0.48938823, 0.8369825), (0.18445191, 0.621834), (0.19182487, 0.48236057)], includedObstacleCornersIndices=set([9, 8]))§2.5151548
22346§2.2895513§Chromosome(steinerPoints=[(0.7494876, 0.65314233), (0.3708244, 0.8199307), (0.5845449, 0.690858), (0.5675434, 0.6913845), (0.48938823, 0.8369825), (0.18445191, 0.621834), (0.19182487, 0.48236057), (0.48294222, 0.82464767)], includedObstacleCornersIndices=set([9, 8]))§2.5204773
23493§2.2694795§Chromosome(steinerPoints=[(0.4813683, 0.7781049), (0.23155206, 0.4652904), (0.2126457, 0.6221509), (0.12086201, 0.6897066), (0.53837436, 0.64092296), (0.37812445, 0.78121686), (0.72759825, 0.5984958)], includedObstacleCornersIndices=set([8, 9]))§2.6100895
23560§2.2686715§Chromosome(steinerPoints=[(0.4813683, 0.7781049), (0.23155206, 0.4652904), (0.2126457, 0.6221509), (0.12086201, 0.6897066), (0.72759825, 0.5984958), (0.37812445, 0.78121686), (0.6821134, 0.5991687), (0.21761426, 0.4727311)], includedObstacleCornersIndices=set([8, 9]))§2.6153178
23618§2.2664807§Chromosome(steinerPoints=[(0.4813683, 0.7781049), (0.23155206, 0.4652904), (0.2126457, 0.6221509), (0.21761426, 0.4727311), (0.72759825, 0.5984958), (0.37812445, 0.78121686)], includedObstacleCornersIndices=set([8, 9]))§2.6198883
23636§2.2662377§Chromosome(steinerPoints=[(0.4813683, 0.7781049), (0.23155206, 0.4652904), (0.2126457, 0.6221509), (0.21761426, 0.4727311), (0.72759825, 0.5984958), (0.37812445, 0.78121686), (0.10784163, 0.6795505)], includedObstacleCornersIndices=set([8, 9]))§2.621344
23677§2.2654922§Chromosome(steinerPoints=[(0.4813683, 0.7781049), (0.10784163, 0.6795505), (0.2126457, 0.6221509), (0.21761426, 0.4727311), (0.72759825, 0.5984958), (0.37812445, 0.78121686), (0.4747063, 0.769279)], includedObstacleCornersIndices=set([8, 9]))§2.6247487
162869§2.2654922§Chromosome(steinerPoints=[(0.4813683, 0.7781049), (0.10784163, 0.6795505), (0.2126457, 0.6221509), (0.21761426, 0.4727311), (0.72759825, 0.5984958), (0.37812445, 0.78121686), (0.4747063, 0.769279)], includedObstacleCornersIndices=set([8, 9]))§13.685652
