function evaluations§best§chromosome§runtime in seconds
2§3.0000002§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§0.000133468
213§2.9863706§Chromosome(steinerPoints=[(0.7577351, 0.757735)], includedObstacleCornersIndices=set([]))§0.006803174
224§2.9764981§Chromosome(steinerPoints=[(0.26192155, 0.4932114)], includedObstacleCornersIndices=set([]))§0.007372843
291§2.9664748§Chromosome(steinerPoints=[(0.29858398, 0.48954257)], includedObstacleCornersIndices=set([]))§0.010448389
468§2.9607515§Chromosome(steinerPoints=[(0.46670723, 0.2895761), (0.24226499, 0.44226497)], includedObstacleCornersIndices=set([]))§0.018786518
1557§2.949577§Chromosome(steinerPoints=[(0.25025338, 0.20097736), (0.74742264, 0.70183676), (0.3336457, 0.680706), (0.72542536, 0.76517546)], includedObstacleCornersIndices=set([]))§0.06373585
1787§2.9474251§Chromosome(steinerPoints=[(0.33503217, 0.27398917), (0.3960518, 0.47423196), (0.7429958, 0.48165593), (0.5740264, 0.4757039), (0.6412992, 0.52302194)], includedObstacleCornersIndices=set([]))§0.07731875
1817§2.944167§Chromosome(steinerPoints=[(0.33503217, 0.27398917), (0.55996114, 0.7846358), (0.45891255, 0.5589733), (0.5882115, 0.39179835), (0.6353361, 0.23793058)], includedObstacleCornersIndices=set([]))§0.07920943
1856§2.942313§Chromosome(steinerPoints=[(0.66463995, 0.6094849), (0.71092314, 0.30803657), (0.36926314, 0.69398487), (0.40485334, 0.6300421), (0.41132283, 0.6162224), (0.64226496, 0.757735)], includedObstacleCornersIndices=set([]))§0.08167413
2094§2.9371624§Chromosome(steinerPoints=[(0.7568877, 0.57261264), (0.36570013, 0.3150555), (0.25286227, 0.66507375), (0.27145976, 0.2974158), (0.65494627, 0.6967732)], includedObstacleCornersIndices=set([]))§0.097675696
2168§2.9101393§Chromosome(steinerPoints=[(0.7568877, 0.57261264), (0.27137348, 0.55163133), (0.4796595, 0.37874836), (0.5799342, 0.7805914), (0.48912328, 0.25197998), (0.3839721, 0.51824147)], includedObstacleCornersIndices=set([]))§0.10269018
2491§2.9061005§Chromosome(steinerPoints=[(0.5712102, 0.622188), (0.6273538, 0.5224979), (0.8330565, 0.3444087), (0.74374676, 0.48156092), (0.23989084, 0.54760164), (0.3281971, 0.5259068), (0.48101684, 0.3006438), (0.4840678, 0.25663063)], includedObstacleCornersIndices=set([]))§0.12819397
3410§2.9046226§Chromosome(steinerPoints=[(0.25185433, 0.48241884), (0.550874, 0.46502918), (0.6885638, 0.2795989), (0.7525281, 0.7305482), (0.63733935, 0.62350667), (0.7370243, 0.6562939)], includedObstacleCornersIndices=set([]))§0.20674378
4981§2.9011767§Chromosome(steinerPoints=[(0.66798073, 0.55919105), (0.44574553, 0.6996449), (0.5946703, 0.7165543), (0.74356604, 0.80448616), (0.6609189, 0.44696063), (0.28741464, 0.33805436)], includedObstacleCornersIndices=set([]))§0.29069427
7436§2.8930964§Chromosome(steinerPoints=[(0.5086818, 0.30532062), (0.70182955, 0.4488534), (0.22825474, 0.5047765), (0.6500155, 0.45848897), (0.75469226, 0.20359534), (0.3434174, 0.5280346)], includedObstacleCornersIndices=set([]))§0.48375267
9273§2.886845§Chromosome(steinerPoints=[(0.68741, 0.27799577), (0.5632551, 0.4944164), (0.19308129, 0.39456534), (0.7577351, 0.757735), (0.24226497, 0.24226499), (0.516477, 0.7905218), (0.46198, 0.5046879), (0.24029416, 0.64385545), (0.7878918, 0.67502487)], includedObstacleCornersIndices=set([]))§0.60909325
9275§2.8705025§Chromosome(steinerPoints=[(0.68741, 0.27799577), (0.5632551, 0.4944164), (0.19308129, 0.39456534), (0.7577351, 0.757735), (0.24226497, 0.24226499), (0.516477, 0.7905218), (0.46198, 0.5046879), (0.24029416, 0.64385545), (0.7878918, 0.67502487), (0.7436259, 0.28232402)], includedObstacleCornersIndices=set([]))§0.6093917
10693§2.8612611§Chromosome(steinerPoints=[(0.3469578, 0.5094975), (0.50381225, 0.7020141), (0.69441, 0.28349295), (0.75323063, 0.7491138), (0.26607034, 0.51537186), (0.45011362, 0.7394115), (0.42876774, 0.33788466)], includedObstacleCornersIndices=set([]))§0.7410415
10720§2.8599477§Chromosome(steinerPoints=[(0.3469578, 0.5094975), (0.50381225, 0.7020141), (0.69441, 0.28349295), (0.75323063, 0.7491138), (0.26607034, 0.51537186), (0.42876774, 0.33788466)], includedObstacleCornersIndices=set([]))§0.7431014
10729§2.8557808§Chromosome(steinerPoints=[(0.3469578, 0.5094975), (0.50381225, 0.7020141), (0.69441, 0.28349295), (0.75323063, 0.7491138), (0.26607034, 0.51537186), (0.42876774, 0.33788466), (0.38160938, 0.22395489)], includedObstacleCornersIndices=set([]))§0.74382037
10734§2.8538556§Chromosome(steinerPoints=[(0.3469578, 0.5094975), (0.50381225, 0.7020141), (0.69441, 0.28349295), (0.75323063, 0.7491138), (0.26607034, 0.51537186), (0.38160938, 0.22395489), (0.6695136, 0.23511606), (0.45772284, 0.701679)], includedObstacleCornersIndices=set([]))§0.74427176
10746§2.8440516§Chromosome(steinerPoints=[(0.3469578, 0.5094975), (0.50381225, 0.7020141), (0.69441, 0.28349295), (0.75323063, 0.7491138), (0.26607034, 0.51537186), (0.38160938, 0.22395489), (0.6695136, 0.23511606), (0.45772284, 0.701679), (0.69612986, 0.25251865)], includedObstacleCornersIndices=set([]))§0.7454257
15232§2.8436875§Chromosome(steinerPoints=[(0.65451074, 0.27290326), (0.741357, 0.26640064), (0.27961117, 0.6868544), (0.33162722, 0.67670023), (0.30813134, 0.2968579), (0.4177488, 0.58186704), (0.4167408, 0.46480894), (0.25770622, 0.2974211)], includedObstacleCornersIndices=set([]))§1.1241013
19074§2.840457§Chromosome(steinerPoints=[(0.7136197, 0.76851904), (0.32452613, 0.26183432), (0.70658785, 0.6885589), (0.49942625, 0.45773363), (0.7746536, 0.43035683), (0.31243357, 0.35768417), (0.3420878, 0.6295338), (0.26436037, 0.649277), (0.35191372, 0.63405234), (0.64226496, 0.24226502), (0.49937886, 0.47680968)], includedObstacleCornersIndices=set([]))§1.4150513
19091§2.8309267§Chromosome(steinerPoints=[(0.49937886, 0.47680968), (0.32452613, 0.26183432), (0.70658785, 0.6885589), (0.49942625, 0.45773363), (0.64226496, 0.24226502), (0.31243357, 0.35768417), (0.35191372, 0.63405234), (0.26436037, 0.649277), (0.4721386, 0.51584744)], includedObstacleCornersIndices=set([]))§1.4168524
24455§2.82369§Chromosome(steinerPoints=[(0.18790838, 0.3460539), (0.2703587, 0.6455332), (0.6968947, 0.6427749), (0.757735, 0.64226496), (0.664459, 0.3478707), (0.648316, 0.24552241), (0.3625751, 0.3717628), (0.4567324, 0.53657985), (0.18684593, 0.26583195), (0.27048087, 0.7461019), (0.54530966, 0.52634156)], includedObstacleCornersIndices=set([]))§1.8466759
24457§2.822881§Chromosome(steinerPoints=[(0.18790838, 0.3460539), (0.2703587, 0.6455332), (0.6968947, 0.6427749), (0.757735, 0.64226496), (0.664459, 0.3478707), (0.648316, 0.24552241), (0.3625751, 0.3717628), (0.4567324, 0.53657985), (0.54530966, 0.52634156), (0.27048087, 0.7461019)], includedObstacleCornersIndices=set([]))§1.8469882
24466§2.8153362§Chromosome(steinerPoints=[(0.18790838, 0.3460539), (0.2703587, 0.6455332), (0.6968947, 0.6427749), (0.27048087, 0.7461019), (0.664459, 0.3478707), (0.648316, 0.24552241), (0.3625751, 0.3717628), (0.4567324, 0.53657985), (0.54530966, 0.52634156), (0.6586164, 0.7161898)], includedObstacleCornersIndices=set([]))§1.8479705
24483§2.8107018§Chromosome(steinerPoints=[(0.18790838, 0.3460539), (0.2703587, 0.6455332), (0.6968947, 0.6427749), (0.27048087, 0.7461019), (0.664459, 0.3478707), (0.648316, 0.24552241), (0.3625751, 0.3717628), (0.4567324, 0.53657985), (0.54530966, 0.52634156), (0.6586164, 0.7161898), (0.21010129, 0.38007247)], includedObstacleCornersIndices=set([]))§1.8497419
53202§2.789554§Chromosome(steinerPoints=[(0.6362244, 0.36247474), (0.34629124, 0.7302261), (0.24226497, 0.35773498), (0.65536976, 0.6767483), (0.7270005, 0.6694616), (0.26358694, 0.2572026), (0.48551226, 0.45514718), (0.2556864, 0.7216544), (0.7420582, 0.66029775), (0.5769963, 0.54073834), (0.4509965, 0.46113104), (0.61731917, 0.23508084), (0.5476929, 0.46486512)], includedObstacleCornersIndices=set([]))§4.3843446
55646§2.784869§Chromosome(steinerPoints=[(0.6550971, 0.7245406), (0.7254095, 0.7320986), (0.6526217, 0.33398134), (0.49699032, 0.44694567), (0.4978671, 0.54229), (0.74935395, 0.33983564), (0.35773498, 0.24226497), (0.29471415, 0.657614), (0.25091386, 0.26090074), (0.29870364, 0.8117161), (0.2655508, 0.78040874)], includedObstacleCornersIndices=set([]))§4.59059
55654§2.773167§Chromosome(steinerPoints=[(0.6550971, 0.7245406), (0.7254095, 0.7320986), (0.6526217, 0.33398134), (0.49699032, 0.44694567), (0.4978671, 0.54229), (0.74935395, 0.33983564), (0.35773498, 0.24226497), (0.29471415, 0.657614), (0.25091386, 0.26090074), (0.2655508, 0.78040874)], includedObstacleCornersIndices=set([]))§4.591593
57232§2.7635238§Chromosome(steinerPoints=[(0.26090074, 0.34908617), (0.6577186, 0.3019481), (0.2682978, 0.6810924), (0.74228454, 0.3021249), (0.34385166, 0.6809237), (0.24226497, 0.24226499), (0.757735, 0.64226496), (0.51263386, 0.5194655), (0.5099506, 0.4573055), (0.73909926, 0.74908614)], includedObstacleCornersIndices=set([]))§4.740297
57240§2.757399§Chromosome(steinerPoints=[(0.26090074, 0.34908617), (0.6577186, 0.3019481), (0.2682978, 0.6810924), (0.74228454, 0.3021249), (0.34385166, 0.6809237), (0.24226497, 0.24226499), (0.757735, 0.64226496), (0.51263386, 0.5194655), (0.5099506, 0.4573055), (0.73909926, 0.74908614), (0.73122287, 0.6609007)], includedObstacleCornersIndices=set([]))§4.741191
57244§2.757086§Chromosome(steinerPoints=[(0.26090074, 0.34908617), (0.6577186, 0.3019481), (0.2682978, 0.6810924), (0.74228454, 0.3021249), (0.34385166, 0.6809237), (0.24226497, 0.24226499), (0.73122287, 0.6609007), (0.51263386, 0.5194655), (0.5099506, 0.4573055), (0.73909926, 0.74908614)], includedObstacleCornersIndices=set([]))§4.7416415
58570§2.7564049§Chromosome(steinerPoints=[(0.31795895, 0.26166248), (0.70569754, 0.24451405), (0.32529914, 0.6682188), (0.64902925, 0.74398553), (0.32146603, 0.34527233), (0.32723436, 0.7455226), (0.4835149, 0.5434478), (0.7040019, 0.34233436), (0.4783628, 0.4556897), (0.7136199, 0.7429818)], includedObstacleCornersIndices=set([]))§4.860285
58670§2.755321§Chromosome(steinerPoints=[(0.31795895, 0.26166248), (0.70569754, 0.24451405), (0.32529914, 0.6682188), (0.64902925, 0.74398553), (0.32146603, 0.34527233), (0.32723436, 0.7455226), (0.4835149, 0.5434478), (0.7040019, 0.34233436), (0.4783628, 0.4556897), (0.7136199, 0.7429818), (0.3239377, 0.6552266)], includedObstacleCornersIndices=set([]))§4.8707395
