function evaluations§best§chromosome§runtime in seconds
2§3.4705002§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 19]))§0.003672019
3§3.4279642§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([19, 7]))§0.004523769
12070§3.4124362§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264)], includedObstacleCornersIndices=set([19, 8, 14, 18, 22]))§3.3428397
12072§3.3514655§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264)], includedObstacleCornersIndices=set([19, 8, 14, 22]))§3.343148
12111§3.349873§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506)], includedObstacleCornersIndices=set([19, 8, 14, 22]))§3.3474145
12121§3.3480928§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506)], includedObstacleCornersIndices=set([19, 14]))§3.348531
12165§3.333174§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([19, 14]))§3.3536372
12170§3.3229616§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.68042684, 0.45370293)], includedObstacleCornersIndices=set([19, 14]))§3.3544672
12193§3.3223903§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.68042684, 0.45370293), (0.6797251, 0.5002499)], includedObstacleCornersIndices=set([19, 14]))§3.3580291
12263§3.2896662§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.68042684, 0.45370293), (0.6797251, 0.5002499), (0.8111919, 0.6002854)], includedObstacleCornersIndices=set([19, 14, 8]))§3.3683057
12488§3.2869394§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.6663417, 0.15857002), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.68042684, 0.45370293), (0.6797251, 0.5002499), (0.8111919, 0.6002854), (0.78641135, 0.7935407), (0.6985837, 0.12180284)], includedObstacleCornersIndices=set([8]))§3.4031482
12595§3.2801943§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.73122406, 0.13991475), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.6797251, 0.5002499), (0.8111919, 0.6002854), (0.78641135, 0.7935407)], includedObstacleCornersIndices=set([8]))§3.421678
12655§3.2731545§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.73122406, 0.13991475), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.6797251, 0.5002499), (0.8111919, 0.6002854), (0.78641135, 0.7935407), (0.65244263, 0.49138138)], includedObstacleCornersIndices=set([8]))§3.4309318
12660§3.2717814§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.73122406, 0.13991475), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.65244263, 0.49138138), (0.8111919, 0.6002854), (0.78641135, 0.7935407)], includedObstacleCornersIndices=set([8]))§3.4317155
12704§3.265981§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.73122406, 0.13991475), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.65244263, 0.49138138), (0.8111919, 0.6002854), (0.78641135, 0.7935407), (0.7502357, 0.16449955)], includedObstacleCornersIndices=set([8]))§3.437893
12723§3.2645884§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.7502357, 0.16449955), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.65244263, 0.49138138), (0.8111919, 0.6002854), (0.78641135, 0.7935407)], includedObstacleCornersIndices=set([8]))§3.4407554
12736§3.2625067§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.7502357, 0.16449955), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.65244263, 0.49138138), (0.8111919, 0.6002854), (0.78641135, 0.7935407), (0.65648776, 0.44743282)], includedObstacleCornersIndices=set([8]))§3.442679
13407§3.2597716§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.7502357, 0.16449955), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.65244263, 0.49138138), (0.8111919, 0.6002854), (0.78641135, 0.7935407), (0.65648776, 0.44743282), (0.8090316, 0.7808393)], includedObstacleCornersIndices=set([8]))§3.5519762
14472§3.2569952§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.7502357, 0.16449955), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.6985837, 0.12180284), (0.65244263, 0.49138138), (0.8111919, 0.6002854), (0.8090316, 0.7808393), (0.65648776, 0.44743282), (0.6527881, 0.5122881)], includedObstacleCornersIndices=set([8]))§3.726049
98475§3.2561698§Chromosome(steinerPoints=[(0.39988074, 0.2601807), (0.7502357, 0.16449955), (0.55072856, 0.2597264), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.65648776, 0.44743282), (0.6527881, 0.5122881), (0.8111919, 0.6002854), (0.8090316, 0.7808393), (0.6877415, 0.13511968)], includedObstacleCornersIndices=set([8]))§16.768158
