generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§640000000§3.621576§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([20, 9, 2, 0, 23, 1, 5, 24, 14]))§670§0.4775877
2§20000004§3.5868614§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 24, 1, 16, 14, 15, 18, 8, 19, 22, 17]))§840§0.48946923
3§3.9162445§3.3695962§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14, 24, 1, 0, 15, 20]))§1008§0.50184983
6§3.7359033§3.347041§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 14, 23, 1, 24, 20]))§1512§0.54160935
9§3.6019185§3.336832§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([19, 20, 14, 15, 24, 1, 23, 5]))§2020§0.5826017
12§3.5024629§3.3300347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([15, 23, 5, 1, 14, 20]))§2528§0.6227193
14§3.4478276§3.3273153§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([19, 20, 14, 15, 1, 23, 5]))§2866§0.6491184
32§3.3670776§3.3250012§Chromosome(steinerPoints=[(0.89129144, 0.6253586)], includedObstacleCornersIndices=set([1, 23, 5, 19, 20, 14, 15]))§5942§0.8784789
39§3.3741415§3.3231454§Chromosome(steinerPoints=[(0.60833955, 0.11131579)], includedObstacleCornersIndices=set([14, 19, 5, 23, 1, 15, 20]))§7152§0.97217184
43§3.3700807§3.312607§Chromosome(steinerPoints=[(0.68792236, 0.14359207)], includedObstacleCornersIndices=set([1, 23, 5, 20, 14, 19, 15]))§7850§1.0261995
53§3.3659947§3.310293§Chromosome(steinerPoints=[(0.89129144, 0.6253586), (0.68792236, 0.14359207)], includedObstacleCornersIndices=set([20, 15, 14, 19, 23, 5, 1]))§9591§1.1683621
69§3.358168§3.3077393§Chromosome(steinerPoints=[(0.89129144, 0.6253586), (0.68792236, 0.14359207), (0.95632064, 0.20008291)], includedObstacleCornersIndices=set([20, 14, 19, 23, 5, 1, 15]))§12444§1.4333081
72§20000004§3.3073733§Chromosome(steinerPoints=[(0.89129144, 0.6253586), (0.95632064, 0.20008291), (0.68792236, 0.14359207)], includedObstacleCornersIndices=set([20, 14, 19, 5, 23, 1]))§12974§1.4847217
84§20000004§3.3066478§Chromosome(steinerPoints=[(0.89129144, 0.6253586), (0.68792236, 0.14359207), (0.95632064, 0.20008291), (0.34343928, 0.062375356)], includedObstacleCornersIndices=set([1, 5, 23, 20, 14, 19]))§15134§1.698884
90§40000004§3.3059144§Chromosome(steinerPoints=[(0.89129144, 0.6253586), (0.95632064, 0.20008291), (0.68792236, 0.14359207), (0.8867493, 0.61364436)], includedObstacleCornersIndices=set([20, 1, 23, 5, 14, 19]))§16222§1.8177936
98§20000004§3.305189§Chromosome(steinerPoints=[(0.34343928, 0.062375356), (0.89129144, 0.6253586), (0.95632064, 0.20008291), (0.68792236, 0.14359207), (0.8867493, 0.61364436)], includedObstacleCornersIndices=set([1, 5, 23, 20, 14, 19]))§17701§1.9660022
108§40000004§3.3046045§Chromosome(steinerPoints=[(0.68792236, 0.14359207), (0.34343928, 0.062375356), (0.8867493, 0.61364436), (0.95632064, 0.20008291), (0.67382514, 0.62485397)], includedObstacleCornersIndices=set([14, 19, 23, 5, 20, 15, 1]))§19563§2.1669683
111§60000004§3.3042386§Chromosome(steinerPoints=[(0.8867493, 0.61364436), (0.95632064, 0.20008291), (0.68792236, 0.14359207), (0.34343928, 0.062375356), (0.67382514, 0.62485397)], includedObstacleCornersIndices=set([20, 14, 19, 23, 5, 1]))§20131§2.2328656
145§40000004§3.3016336§Chromosome(steinerPoints=[(0.34343928, 0.062375356), (0.68792236, 0.14359207), (0.67382514, 0.62485397), (0.8867493, 0.61364436), (0.95632064, 0.20008291), (0.1836935, 0.5234785)], includedObstacleCornersIndices=set([5, 23, 1, 19, 14, 20]))§26548§2.9958324
166§100000010§3.3005524§Chromosome(steinerPoints=[(0.34343928, 0.062375356), (0.1836935, 0.5234785), (0.68792236, 0.14359207), (0.67382514, 0.62485397), (0.65299654, 0.66673815), (0.95632064, 0.20008291), (0.8867493, 0.61364436)], includedObstacleCornersIndices=set([5, 23, 1, 14, 19, 20]))§30590§3.4782631
168§100000010§3.2999744§Chromosome(steinerPoints=[(0.1836935, 0.5234785), (0.34343928, 0.062375356), (0.95632064, 0.20008291), (0.68792236, 0.14359207), (0.65299654, 0.66673815), (0.8867493, 0.61364436)], includedObstacleCornersIndices=set([5, 23, 1, 14, 19, 20]))§30982§3.528286
216§40000004§3.299026§Chromosome(steinerPoints=[(0.68792236, 0.14359207), (0.65299654, 0.66673815), (0.8867493, 0.61364436), (0.34343928, 0.062375356), (0.1836935, 0.5234785), (0.95632064, 0.20008291), (0.6904051, 0.1262823)], includedObstacleCornersIndices=set([14, 19, 23, 5, 1, 20]))§40515§4.7809324
220§40000004§3.2981768§Chromosome(steinerPoints=[(0.68792236, 0.14359207), (0.65299654, 0.66673815), (0.95632064, 0.20008291), (0.8867493, 0.61364436), (0.1836935, 0.5234785), (0.34343928, 0.062375356), (0.6745914, 0.15475748)], includedObstacleCornersIndices=set([14, 19, 20, 5, 1, 23]))§41329§4.8852143
228§40000004§3.2962232§Chromosome(steinerPoints=[(0.34343928, 0.062375356), (0.1836935, 0.5234785), (0.68792236, 0.14359207), (0.65299654, 0.66673815), (0.8867493, 0.61364436), (0.95632064, 0.20008291), (0.6565444, 0.15793844)], includedObstacleCornersIndices=set([5, 23, 1, 14, 19, 20]))§42951§5.0965834
241§3.34098§3.2954736§Chromosome(steinerPoints=[(0.1836935, 0.5234785), (0.34343928, 0.062375356), (0.95632064, 0.20008291), (0.65299654, 0.66673815), (0.6565444, 0.15793844), (0.8867493, 0.61364436)], includedObstacleCornersIndices=set([5, 23, 1, 14, 19, 20]))§45655§5.464873
242§60000004§3.2947164§Chromosome(steinerPoints=[(0.1836935, 0.5234785), (0.65299654, 0.66673815), (0.34343928, 0.062375356), (0.95632064, 0.20008291), (0.8867493, 0.61364436), (0.6904051, 0.1262823), (0.65963, 0.12926744)], includedObstacleCornersIndices=set([1, 5, 23, 14, 19, 20]))§45863§5.4928284
251§100000010§3.2938604§Chromosome(steinerPoints=[(0.65299654, 0.66673815), (0.95632064, 0.20008291), (0.8867493, 0.61364436), (0.34343928, 0.062375356), (0.65963, 0.12926744), (0.1836935, 0.5234785)], includedObstacleCornersIndices=set([14, 19, 20, 5, 23, 1]))§47735§5.7577796
256§40000004§3.2932067§Chromosome(steinerPoints=[(0.8867493, 0.61364436), (0.92781895, 0.21566175), (0.1836935, 0.5234785), (0.34343928, 0.062375356), (0.65299654, 0.66673815), (0.6904051, 0.1262823), (0.65963, 0.12926744)], includedObstacleCornersIndices=set([20, 1, 5, 23, 19, 14]))§48776§5.900725
263§100000010§3.2923508§Chromosome(steinerPoints=[(0.8867493, 0.61364436), (0.92781895, 0.21566175), (0.65299654, 0.66673815), (0.65963, 0.12926744), (0.34343928, 0.062375356), (0.1836935, 0.5234785)], includedObstacleCornersIndices=set([14, 20, 19, 5, 1, 23]))§50247§6.1018753
287§80000010§3.286428§Chromosome(steinerPoints=[(0.65299654, 0.66673815), (0.65963, 0.12926744), (0.1836935, 0.5234785), (0.34343928, 0.062375356), (0.8867493, 0.61364436), (0.92781895, 0.21566175), (0.6554749, 0.644494)], includedObstacleCornersIndices=set([14, 19, 5, 23, 1, 20]))§55359§6.7825313
299§40000004§3.28594§Chromosome(steinerPoints=[(0.34343928, 0.062375356), (0.1836935, 0.5234785), (0.92781895, 0.21566175), (0.65963, 0.12926744), (0.6554749, 0.644494), (0.8867493, 0.61364436)], includedObstacleCornersIndices=set([23, 5, 1, 19, 14, 20]))§57941§7.114868
432§60000004§3.2854571§Chromosome(steinerPoints=[(0.8867493, 0.61364436), (0.92781895, 0.21566175), (0.65963, 0.12926744), (0.6554749, 0.644494), (0.1836935, 0.5234785), (0.34343928, 0.062375356), (0.88030607, 0.6004)], includedObstacleCornersIndices=set([20, 14, 19, 5, 23, 1]))§88050§11.129153
449§100000010§3.2850294§Chromosome(steinerPoints=[(0.8867493, 0.61364436), (0.92781895, 0.21566175), (0.88030607, 0.6004), (0.65963, 0.12926744), (0.6554749, 0.644494), (0.34343928, 0.062375356), (0.1836935, 0.5234785), (0.3543718, 0.070276566)], includedObstacleCornersIndices=set([20, 14, 19, 5, 23, 1]))§91973§11.652529
