generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.0634246§2.640688§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([6]))§1037§0.21153285
5§2.7383425§2.6349866§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([]))§2145§0.23752818
7§2.6870434§2.621095§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§2697§0.25031486
8§2.6705573§2.61726§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§2972§0.25649804
9§2.661863§2.6154199§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.9063096, 0.7126548), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§3255§0.2629763
10§2.6558428§2.6134179§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§3526§0.26963988
15§2.641258§2.6124701§Chromosome(steinerPoints=[(0.54458016, 0.72617155), (0.14995065, 0.33265412), (0.5046899, 0.8362386), (0.9063096, 0.7126548), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([7]))§4903§0.30738544
21§2.6263163§2.6119015§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5366558, 0.7265438), (0.49693203, 0.8248326), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([7]))§6549§0.3600402
437§2.6300201§2.6111255§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.5366558, 0.7265438), (0.9063096, 0.7126548), (0.1638606, 0.31028855)], includedObstacleCornersIndices=set([7]))§121656§4.0153317
446§2.6248515§2.6076562§Chromosome(steinerPoints=[(0.1638606, 0.31028855), (0.49693203, 0.8248326), (0.5366558, 0.7265438), (0.9063096, 0.7126548), (0.1622752, 0.3338801)], includedObstacleCornersIndices=set([7]))§124171§4.095939
654§2.6176283§2.6057885§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.1622752, 0.3338801), (0.49693203, 0.8248326), (0.5366558, 0.7265438), (0.1840985, 0.2509333)], includedObstacleCornersIndices=set([7]))§181608§6.134772
954§2.6168396§2.6055267§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5366558, 0.7265438), (0.1736058, 0.22969647), (0.49693203, 0.8248326), (0.17402907, 0.3445788)], includedObstacleCornersIndices=set([7]))§264676§9.089686
957§2.6185272§2.6042871§Chromosome(steinerPoints=[(0.1622752, 0.3338801), (0.1736058, 0.22969647), (0.49693203, 0.8248326), (0.9063096, 0.7126548), (0.5264032, 0.71563953), (0.4859912, 0.8102447)], includedObstacleCornersIndices=set([7]))§265501§9.119825
977§2.6127481§2.603584§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.4859912, 0.8102447), (0.17402907, 0.3445788), (0.5264032, 0.71563953), (0.18517128, 0.24101713)], includedObstacleCornersIndices=set([7]))§271038§9.325839
1002§2.6141086§2.6033196§Chromosome(steinerPoints=[(0.17402907, 0.3445788), (0.9063096, 0.7126548), (0.5264032, 0.71563953), (0.4859912, 0.8102447), (0.17517127, 0.25101712)], includedObstacleCornersIndices=set([7]))§277929§9.562428
1008§2.6137173§2.6025658§Chromosome(steinerPoints=[(0.4859912, 0.8102447), (0.5264032, 0.71563953), (0.17402907, 0.3445788), (0.17517127, 0.25101712), (0.9063096, 0.7126548), (0.1655542, 0.33835712)], includedObstacleCornersIndices=set([7]))§279622§9.619528
1509§2.6100051§2.6025143§Chromosome(steinerPoints=[(0.5264032, 0.71563953), (0.4859912, 0.8102447), (0.16402906, 0.3345788), (0.17517127, 0.25101712), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§418208§14.282692
