generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.7403522§3.37181§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.62679297, 0.17216142)], includedObstacleCornersIndices=set([]))§1050§0.68767637
2§3.5682967§3.3585389§Chromosome(steinerPoints=[(0.86612684, 0.79641366)], includedObstacleCornersIndices=set([8]))§1319§0.70660305
3§3.4736528§3.3411894§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.67731535, 0.2282576)], includedObstacleCornersIndices=set([]))§1601§0.72444236
4§3.4257748§3.3270955§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([8]))§1870§0.7406132
5§3.400751§3.3261929§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.62679297, 0.17216142), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([8]))§2153§0.75834364
6§3.3896053§3.3136916§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([]))§2435§0.77658916
7§3.3802648§3.3087294§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.86612684, 0.79641366), (0.67731535, 0.2282576), (0.6498292, 0.16290984)], includedObstacleCornersIndices=set([8]))§2706§0.7940807
9§3.357284§3.3073967§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.86612684, 0.79641366), (0.69576603, 0.114691004)], includedObstacleCornersIndices=set([]))§3256§0.83970964
10§3.3494208§3.3058965§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.86612684, 0.79641366), (0.69576603, 0.114691004)], includedObstacleCornersIndices=set([8]))§3527§0.85912126
13§3.3267767§3.3049443§Chromosome(steinerPoints=[(0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.86612684, 0.79641366), (0.69576603, 0.114691004), (0.26183477, 0.10727369), (0.36645386, 0.22741278), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([8]))§4368§0.92178273
16§3.319622§3.3029714§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.3531296, 0.23105854), (0.24977094, 0.120876506), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([8]))§5196§0.9912673
18§3.3159463§3.302321§Chromosome(steinerPoints=[(0.3531296, 0.23105854), (0.17728713, 0.6046592), (0.24977094, 0.120876506), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.86612684, 0.79641366), (0.69576603, 0.114691004)], includedObstacleCornersIndices=set([8]))§5736§1.0402901
27§3.314196§3.3018832§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.69576603, 0.114691004), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.17728713, 0.6046592), (0.3531296, 0.23105854), (0.24977094, 0.120876506), (0.42813656, 0.2931888)], includedObstacleCornersIndices=set([]))§8240§1.287616
28§3.3105032§3.2928548§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.69576603, 0.114691004), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.17728713, 0.6046592), (0.42813656, 0.2931888), (0.24977094, 0.120876506)], includedObstacleCornersIndices=set([]))§8532§1.3187441
31§3.3124723§3.2921453§Chromosome(steinerPoints=[(0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.67731535, 0.2282576), (0.69576603, 0.114691004), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.42813656, 0.2931888)], includedObstacleCornersIndices=set([8]))§9376§1.4102888
32§3.3116407§3.2889445§Chromosome(steinerPoints=[(0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.69576603, 0.114691004), (0.86612684, 0.79641366), (0.6113354, 0.37516177), (0.17728713, 0.6046592), (0.4034872, 0.29097867), (0.24977094, 0.120876506), (0.42813656, 0.2931888)], includedObstacleCornersIndices=set([]))§9657§1.4416498
33§3.3156226§3.2867298§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.69576603, 0.114691004), (0.6113354, 0.37516177), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.43428123, 0.32094884)], includedObstacleCornersIndices=set([8]))§9921§1.4717503
35§3.313776§3.2805562§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.24977094, 0.120876506), (0.67731535, 0.2282576), (0.69576603, 0.114691004), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.42813656, 0.2931888), (0.86612684, 0.79641366), (0.5907679, 0.3261865)], includedObstacleCornersIndices=set([8]))§10476§1.5333556
38§3.3090353§3.2773514§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.24977094, 0.120876506), (0.67731535, 0.2282576), (0.69576603, 0.114691004), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.4034872, 0.29097867), (0.6458343, 0.42297208), (0.5908376, 0.32756466)], includedObstacleCornersIndices=set([]))§11302§1.6254554
39§3.3036988§3.2766423§Chromosome(steinerPoints=[(0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.67731535, 0.2282576), (0.69576603, 0.114691004), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.4034872, 0.29097867), (0.6458343, 0.42297208), (0.5908376, 0.32756466)], includedObstacleCornersIndices=set([8]))§11585§1.653199
41§3.3015893§3.2760065§Chromosome(steinerPoints=[(0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.40568495, 0.3158009), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.59250176, 0.34055227), (0.67731535, 0.2282576), (0.69576603, 0.114691004)], includedObstacleCornersIndices=set([8]))§12142§1.713829
542§3.2841983§3.2760065§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.40568495, 0.3158009), (0.6458343, 0.42297208), (0.59250176, 0.34055227), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.69576603, 0.114691004), (0.17728713, 0.6046592), (0.24977094, 0.120876506)], includedObstacleCornersIndices=set([8]))§150882§17.468523
