generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.6887658§3.380908§Chromosome(steinerPoints=[(0.5581115, 0.25263023)], includedObstacleCornersIndices=set([14]))§1051§0.54769826
2§3.5360098§3.3419645§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.17728713, 0.6046592), (0.5581115, 0.25263023)], includedObstacleCornersIndices=set([]))§1337§0.5674527
4§3.428352§3.3339705§Chromosome(steinerPoints=[(0.5581115, 0.25263023), (0.86612684, 0.79641366), (0.6726683, 0.15501787), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([]))§1894§0.60198784
6§3.397448§3.3314035§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.5581115, 0.25263023), (0.6458343, 0.42297208), (0.86612684, 0.79641366), (0.6726683, 0.15501787)], includedObstacleCornersIndices=set([]))§2442§0.63787174
7§3.3817587§3.3195012§Chromosome(steinerPoints=[(0.5581115, 0.25263023), (0.24977094, 0.120876506), (0.6458343, 0.42297208), (0.86612684, 0.79641366), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([22, 19]))§2722§0.6559515
8§3.3721893§3.309338§Chromosome(steinerPoints=[(0.5581115, 0.25263023), (0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.89082736, 0.5735763), (0.8599718, 0.79457426), (0.6726683, 0.15501787)], includedObstacleCornersIndices=set([19]))§2998§0.6752477
9§3.3604178§3.3073823§Chromosome(steinerPoints=[(0.3531296, 0.23105854), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.5581115, 0.25263023), (0.6458343, 0.42297208), (0.86612684, 0.79641366), (0.856693, 0.592304)], includedObstacleCornersIndices=set([22, 19]))§3288§0.6950738
12§3.3428578§3.2976627§Chromosome(steinerPoints=[(0.89082736, 0.5735763), (0.8599718, 0.79457426), (0.6726683, 0.15501787), (0.3531296, 0.23105854), (0.24977094, 0.120876506), (0.17728713, 0.6046592), (0.5581115, 0.25263023), (0.68042684, 0.45370293)], includedObstacleCornersIndices=set([19]))§4130§0.7597215
14§3.333633§3.2954354§Chromosome(steinerPoints=[(0.5581115, 0.25263023), (0.6726683, 0.15501787), (0.86612684, 0.79641366), (0.69947064, 0.12373708), (0.26183477, 0.10727369), (0.17728713, 0.6046592), (0.393331, 0.25810152), (0.856693, 0.592304)], includedObstacleCornersIndices=set([19]))§4669§0.8063114
15§3.3255897§3.292034§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.24977094, 0.120876506), (0.3531296, 0.23105854), (0.5581115, 0.25263023), (0.6726683, 0.15501787), (0.65220773, 0.4926888), (0.86612684, 0.79641366), (0.856693, 0.592304)], includedObstacleCornersIndices=set([]))§4946§0.8321687
17§3.3232625§3.290142§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.856693, 0.592304), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.70857656, 0.13901655)], includedObstacleCornersIndices=set([19, 22]))§5487§0.8863879
18§3.3163278§3.2820213§Chromosome(steinerPoints=[(0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.6726683, 0.15501787), (0.86612684, 0.79641366), (0.70857656, 0.13901655), (0.7413449, 0.17479858)], includedObstacleCornersIndices=set([19]))§5757§0.9130806
19§3.3146386§3.271617§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.856693, 0.592304), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.6726683, 0.15501787), (0.70857656, 0.13901655), (0.7413449, 0.17479858)], includedObstacleCornersIndices=set([19]))§6025§0.94112176
21§3.3093214§3.2707598§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.856693, 0.592304), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.70857656, 0.13901655), (0.7413449, 0.17479858)], includedObstacleCornersIndices=set([19]))§6572§1.0008597
25§3.297983§3.2679605§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.393331, 0.25810152), (0.26103908, 0.12826861), (0.86612684, 0.79641366), (0.856693, 0.592304), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.70857656, 0.13901655), (0.7413449, 0.17479858)], includedObstacleCornersIndices=set([8, 19]))§7697§1.1241138
26§3.2940178§3.264382§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.856693, 0.592304), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.70857656, 0.13901655), (0.7413449, 0.17479858), (0.393331, 0.25810152), (0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.55008113, 0.2651918)], includedObstacleCornersIndices=set([19]))§7967§1.1541777
27§3.2914996§3.263113§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.393331, 0.25810152), (0.26183477, 0.10727369), (0.55008113, 0.2651918), (0.68042684, 0.45370293), (0.6726683, 0.15501787), (0.86612684, 0.79641366), (0.856693, 0.592304), (0.70857656, 0.13901655), (0.7413449, 0.17479858), (0.8468229, 0.783902)], includedObstacleCornersIndices=set([19]))§8247§1.186606
29§3.2913325§3.2599833§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.856693, 0.592304), (0.7413449, 0.17479858), (0.5581115, 0.25263023), (0.6458343, 0.42297208), (0.17728713, 0.6046592), (0.69947064, 0.12373708), (0.65220773, 0.4926888), (0.393331, 0.25810152), (0.26183477, 0.10727369)], includedObstacleCornersIndices=set([19]))§8783§1.2515119
30§3.2872803§3.2596254§Chromosome(steinerPoints=[(0.5581115, 0.25263023), (0.6458343, 0.42297208), (0.393331, 0.25810152), (0.69947064, 0.12373708), (0.65220773, 0.4926888), (0.86612684, 0.79641366), (0.856693, 0.592304), (0.7413449, 0.17479858), (0.17728713, 0.6046592), (0.26183477, 0.10727369)], includedObstacleCornersIndices=set([]))§9059§1.2839499
32§3.2767396§3.256295§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.7413449, 0.17479858), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.393331, 0.25810152), (0.70857656, 0.13901655), (0.856693, 0.592304), (0.8468229, 0.783902), (0.55008113, 0.2651918), (0.6921384, 0.12852065)], includedObstacleCornersIndices=set([19]))§9617§1.3494967
35§3.2775617§3.255822§Chromosome(steinerPoints=[(0.8468229, 0.783902), (0.856693, 0.592304), (0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.7413449, 0.17479858), (0.68042684, 0.45370293), (0.5581115, 0.25263023), (0.393331, 0.25810152), (0.55008113, 0.2651918), (0.6921384, 0.12852065)], includedObstacleCornersIndices=set([19]))§10447§1.4530189
36§3.2738729§3.2544787§Chromosome(steinerPoints=[(0.856693, 0.592304), (0.8468229, 0.783902), (0.393331, 0.25810152), (0.26183477, 0.10727369), (0.17728713, 0.6046592), (0.7413449, 0.17479858), (0.69702286, 0.13695028), (0.65220773, 0.4926888), (0.6458343, 0.42297208), (0.5581115, 0.25263023)], includedObstacleCornersIndices=set([]))§10721§1.4856596
39§3.2687638§3.2530835§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.393331, 0.25810152), (0.55008113, 0.2651918), (0.856693, 0.592304), (0.8468229, 0.783902), (0.7413449, 0.17479858), (0.6458343, 0.42297208), (0.65255034, 0.512344), (0.69702286, 0.13695028)], includedObstacleCornersIndices=set([]))§11549§1.5835818
41§3.266407§3.2525704§Chromosome(steinerPoints=[(0.856693, 0.592304), (0.8468229, 0.783902), (0.393331, 0.25810152), (0.7413449, 0.17479858), (0.69702286, 0.13695028), (0.65220773, 0.4926888), (0.6458343, 0.42297208), (0.5581115, 0.25263023), (0.55008113, 0.2651918), (0.26183477, 0.10727369), (0.17728713, 0.6046592), (0.844138, 0.59979886)], includedObstacleCornersIndices=set([]))§12110§1.6504686
