generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.672934§3.2830923§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([14]))§669§0.44950944
2§3.5387523§3.2762513§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([22, 14]))§837§0.46390268
5§3.3817232§3.2756722§Chromosome(steinerPoints=[(0.17728713, 0.6046592)], includedObstacleCornersIndices=set([]))§1342§0.50298834
7§3.3463242§3.2681735§Chromosome(steinerPoints=[(0.17728713, 0.6046592)], includedObstacleCornersIndices=set([14]))§1676§0.52690315
12§3.3084104§3.2583296§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.67731535, 0.2282576)], includedObstacleCornersIndices=set([14, 4]))§2519§0.58396834
13§3.3089392§3.2508304§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.85228014, 0.770913)], includedObstacleCornersIndices=set([14]))§2693§0.5960195
15§3.30213§3.2480087§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([14]))§3029§0.6192649
17§3.2971826§3.2439892§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.85228014, 0.770913)], includedObstacleCornersIndices=set([14, 22]))§3366§0.64385223
19§3.2923057§3.2306015§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([22, 8]))§3704§0.6695474
22§3.2851775§3.223984§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.17728713, 0.6046592), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([]))§4220§0.7109359
24§3.2793908§3.222017§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.26183477, 0.10727369), (0.17728713, 0.6046592), (0.85228014, 0.770913)], includedObstacleCornersIndices=set([14, 6]))§4561§0.7393597
25§3.2743807§3.2138305§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.86612684, 0.79641366), (0.17728713, 0.6046592), (0.6498292, 0.16290984)], includedObstacleCornersIndices=set([8]))§4735§0.75374275
39§3.2458618§3.213491§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.67731535, 0.2282576), (0.17728713, 0.6046592), (0.31231385, 0.08151264), (0.6458343, 0.42297208)], includedObstacleCornersIndices=set([]))§7153§0.97551346
40§3.2441547§3.2118657§Chromosome(steinerPoints=[(0.26183477, 0.10727369), (0.17728713, 0.6046592), (0.67731535, 0.2282576), (0.86612684, 0.79641366), (0.6498292, 0.16290984)], includedObstacleCornersIndices=set([]))§7331§0.9928949
50§3.238331§3.2098877§Chromosome(steinerPoints=[(0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.67731535, 0.2282576), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.39030483, 0.18736273)], includedObstacleCornersIndices=set([]))§9096§1.1692506
56§3.23758§3.2094238§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.39030483, 0.18736273), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([6]))§10174§1.2803884
61§3.2389808§3.207448§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.31231385, 0.08151264), (0.39030483, 0.18736273), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.86612684, 0.79641366), (0.6458343, 0.42297208)], includedObstacleCornersIndices=set([6]))§11053§1.3797187
63§3.24057§3.2060323§Chromosome(steinerPoints=[(0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.67731535, 0.2282576), (0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.3877823, 0.19783288)], includedObstacleCornersIndices=set([6]))§11409§1.4237713
75§3.2389119§3.205617§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.31231385, 0.08151264), (0.17728713, 0.6046592), (0.3877823, 0.19783288), (0.86612684, 0.79641366), (0.32297993, 0.08166989)], includedObstacleCornersIndices=set([6]))§13554§1.6998743
162§3.230912§3.20526§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.67731535, 0.2282576), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.77473557, 0.19067323), (0.6113354, 0.37516177), (0.3877823, 0.19783288), (0.32297993, 0.08166989), (0.17728713, 0.6046592)], includedObstacleCornersIndices=set([6]))§29820§3.8933141
350§3.2263172§3.193981§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.67731535, 0.2282576), (0.77473557, 0.19067323), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.6113354, 0.37516177), (0.17728713, 0.6046592), (0.32297993, 0.08166989), (0.41206533, 0.36386085)], includedObstacleCornersIndices=set([]))§69265§9.523912
359§3.2241313§3.1926534§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.6113354, 0.37516177), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.32297993, 0.08166989), (0.41206533, 0.36386085), (0.17728713, 0.6046592), (0.42322138, 0.34959733)], includedObstacleCornersIndices=set([]))§71276§9.80924
361§3.2255797§3.1918826§Chromosome(steinerPoints=[(0.17728713, 0.6046592), (0.32297993, 0.08166989), (0.6113354, 0.37516177), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.77473557, 0.19067323), (0.42322138, 0.34959733), (0.86612684, 0.79641366)], includedObstacleCornersIndices=set([]))§71728§9.872707
368§3.215493§3.1897907§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.6113354, 0.37516177), (0.17728713, 0.6046592), (0.32297993, 0.08166989), (0.67731535, 0.2282576), (0.42322138, 0.34959733), (0.4028631, 0.34378195)], includedObstacleCornersIndices=set([]))§73324§10.068444
370§3.2154238§3.189446§Chromosome(steinerPoints=[(0.6113354, 0.37516177), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.67731535, 0.2282576), (0.77473557, 0.19067323), (0.86612684, 0.79641366), (0.32297993, 0.08166989), (0.17728713, 0.6046592), (0.4028631, 0.34378195)], includedObstacleCornersIndices=set([]))§73793§10.125589
371§3.2100616§3.1890152§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.42322138, 0.34959733), (0.17728713, 0.6046592), (0.86612684, 0.79641366), (0.6113354, 0.37516177), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.2664137, 0.10638457), (0.4028631, 0.34378195)], includedObstacleCornersIndices=set([]))§74031§10.1529255
377§3.2089076§3.1886706§Chromosome(steinerPoints=[(0.67731535, 0.2282576), (0.17728713, 0.6046592), (0.2664137, 0.10638457), (0.4028631, 0.34378195), (0.77473557, 0.19067323), (0.86612684, 0.79641366), (0.6113354, 0.37516177), (0.6498292, 0.16290984), (0.6458343, 0.42297208)], includedObstacleCornersIndices=set([]))§75431§10.313839
380§3.2069201§3.1879196§Chromosome(steinerPoints=[(0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.6113354, 0.37516177), (0.67731535, 0.2282576), (0.4028631, 0.34378195), (0.86612684, 0.79641366), (0.77473557, 0.19067323), (0.17728713, 0.6046592), (0.26183477, 0.10727369)], includedObstacleCornersIndices=set([]))§76133§10.395718
385§3.205538§3.1874957§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.67731535, 0.2282576), (0.4028631, 0.34378195), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.6113354, 0.37516177), (0.17728713, 0.6046592), (0.26183477, 0.10727369), (0.41010946, 0.33558068)], includedObstacleCornersIndices=set([]))§77299§10.532892
392§3.2101512§3.18712§Chromosome(steinerPoints=[(0.86612684, 0.79641366), (0.77473557, 0.19067323), (0.67731535, 0.2282576), (0.40528172, 0.31559062), (0.6113354, 0.37516177), (0.6498292, 0.16290984), (0.6458343, 0.42297208), (0.4088813, 0.32777554), (0.17728713, 0.6046592), (0.26183477, 0.10727369)], includedObstacleCornersIndices=set([]))§78916§10.724164
